waktu mulai => start 2022-05-22 01:01:15
id user => 231; cust id => 0045410768; skip
id user => 232; cust id => 0000096420; skip
id user => 233; cust id => 0004830121; skip
id user => 234; cust id => 0000685222; skip
id user => 235; cust id => 0003360443; skip
id user => 236; cust id => 0029969128; skip
id user => 237; cust id => 0000751123; skip
id user => 238; cust id => 0002112522; skip
id user => 239; cust id => 0001562859; skip
id user => 240; cust id => 0054570742; skip
id user => 241; cust id => 0000037127; skip
id user => 242; cust id => 0025296039; skip
id user => 243; cust id => 0002652147; skip
id user => 244; cust id => 0006321194; skip
id user => 245; cust id => 0000045724; skip
id user => 246; cust id => 0021656723; skip
id user => 247; cust id => 0021561048; skip
id user => 248; cust id => 0040876773; skip
id user => 249; cust id => 0000589226; skip
id user => 250; cust id => 0033506783; skip
id user => 251; cust id => 0003440740; skip
id user => 252; cust id => 0036382737; skip
id user => 253; cust id => 0030265854; skip
id user => 254; cust id => 0002626646; skip
id user => 255; cust id => 0043648740; skip
id user => 256; cust id => 0000678425; skip
id user => 257; cust id => 0013604269; skip
id user => 258; cust id => 0004681227; skip
id user => 259; cust id => 0000888222; skip
id user => 260; cust id => 0008782336; skip
id user => 261; cust id => 0004642948; skip
id user => 262; cust id => 0001443852; skip
id user => 263; cust id => 0002364032; skip
id user => 264; cust id => 0006170328; skip
id user => 265; cust id => 0001913623; skip
id user => 266; cust id => 0022238505; skip
id user => 267; cust id => 0000448621; skip
id user => 268; cust id => 0009646258; skip
id user => 269; cust id => 0002118925; skip
id user => 270; cust id => 0021406285; skip
id user => 271; cust id => 0004543047; skip
id user => 272; cust id => 0021465463; skip
id user => 273; cust id => 0047006754; skip
id user => 274; cust id => 0001516251; skip
id user => 275; cust id => 0000417626; skip
id user => 276; cust id => 0000646026; skip
id user => 277; cust id => 0003221728; skip
id user => 278; cust id => 0003296258; skip
id user => 279; cust id => 0021967526; skip
id user => 280; cust id => 0001912807; skip
id user => 281; cust id => 0048936835; skip
id user => 282; cust id => 0021245972; skip
id user => 283; cust id => 0028971729; skip
id user => 284; cust id => 0028728616; skip
id user => 285; cust id => 0001411057; skip
id user => 286; cust id => 0042508739; skip
id user => 287; cust id => 0000412320; skip
id user => 288; cust id => 0028768307; skip
id user => 289; cust id => 0029414497; skip
id user => 290; cust id => 0021576624; skip
id user => 291; cust id => 0053704730; skip
id user => 292; cust id => 0001464452; skip
id user => 293; cust id => 0003338043; skip
id user => 294; cust id => 0028918555; skip
id user => 295; cust id => 0001408459; skip
id user => 296; cust id => 0030247761; skip
id user => 297; cust id => 0028516821; skip
id user => 298; cust id => 0038682936; skip
id user => 299; cust id => 0015226251; skip
id user => 300; cust id => 0021462742; skip
id user => 301; cust id => 0002556645; skip
id user => 302; cust id => 0002433845; skip
id user => 303; cust id => 0047444799; skip
id user => 304; cust id => 0001987759; skip
id user => 305; cust id => 0003775020; skip
id user => 306; cust id => 0004011656; skip
id user => 307; cust id => 0000238626; skip
id user => 308; cust id => 0000998021; skip
id user => 309; cust id => 0000824227; skip
id user => 310; cust id => 0004773255; skip
id user => 311; cust id => 0046886719; skip
id user => 312; cust id => 0004123840; skip
id user => 313; cust id => 0; skip
id user => 314; cust id => 0000588020; skip
id user => 315; cust id => 0; skip
id user => 316; cust id => 0; skip
id user => 317; cust id => 0000791921; skip
id user => 318; cust id => 0042266890; skip
id user => 319; cust id => 0002616449; skip
id user => 320; cust id => 0029468527; skip
id user => 321; cust id => 0029243888; skip
id user => 322; cust id => 0003172624; skip
id user => 323; cust id => 0009236241; skip
id user => 324; cust id => 0023928146; skip
id user => 325; cust id => 0021555289; skip
id user => 326; cust id => 0042110718; skip
id user => 327; cust id => 0011926367; skip
id user => 328; cust id => 0; skip
id user => 329; cust id => 0; skip
id user => 330; cust id => 0001059021; skip
id user => 331; cust id => 0001588052; skip
id user => 332; cust id => 0002435006; skip
id user => 333; cust id => 0000599423; skip
id user => 334; cust id => 0028807378; skip
id user => 335; cust id => 0030180111; skip
id user => 336; cust id => 0053784757; skip
id user => 337; cust id => 0053078796; skip
id user => 338; cust id => 0048038749; skip
id user => 339; cust id => 0030379101; skip
id user => 340; cust id => 0035896794; skip
id user => 341; cust id => 0035896927; skip
id user => 342; cust id => 0050580737; skip
id user => 344; cust id => 0003001021; skip
id user => 345; cust id => 0008818262; skip
id user => 346; cust id => 0001411255; skip
id user => 347; cust id => 0002660900; skip
id user => 348; cust id => 0010528206; skip
id user => 349; cust id => 0029537206; skip
id user => 350; cust id => 0018818237; skip
id user => 351; cust id => 0045794716; skip
id user => 352; cust id => 0045792843; skip
id user => 353; cust id => 0030189559; skip
id user => 354; cust id => 0003479425; skip
id user => 355; cust id => 0000507723; skip
id user => 356; cust id => 0032086753; skip
id user => 357; cust id => 0021185657; skip
id user => 358; cust id => 0000194225; skip
id user => 359; cust id => 0012662235; skip
id user => 360; cust id => 0003805322; skip
id user => 361; cust id => 0052062700; skip
id user => 362; cust id => 0; skip
id user => 363; cust id => 0; skip
id user => 364; cust id => 0000938829; skip
id user => 365; cust id => 0043252741; skip
id user => 366; cust id => 0002722825; skip
id user => 367; cust id => 0048267033; skip
id user => 368; cust id => 0042282798; skip
id user => 369; cust id => 0053832788; skip
id user => 370; cust id => 0000319624; skip
id user => 371; cust id => 0029242401; skip
id user => 372; cust id => 0003850955; skip
id user => 373; cust id => 0001951425; skip
id user => 374; cust id => 0000579227; skip
id user => 375; cust id => 0002377547; skip
id user => 376; cust id => 0000382127; skip
id user => 377; cust id => 0048506836; skip
id user => 378; cust id => 0029482106; skip
id user => 379; cust id => 0000824128; skip
id user => 380; cust id => 0053756821; skip
id user => 381; cust id => 0002483949; skip
id user => 382; cust id => 0001433259; skip
id user => 383; cust id => 0021727623; skip
id user => 384; cust id => 0001337054; skip
id user => 385; cust id => 0001534650; skip
id user => 386; cust id => 0020314266; skip
id user => 387; cust id => 0028599900; skip
id user => 388; cust id => 0013308218; skip
id user => 389; cust id => 0050580737; skip
id user => 390; cust id => 0054980826; skip
id user => 391; cust id => 0030104673; skip
id user => 392; cust id => 0001582758; skip
id user => 393; cust id => 0021307459; skip
id user => 394; cust id => 0000905521; skip
id user => 395; cust id => 0004830121; skip
id user => 396; cust id => 0002510501; skip
id user => 397; cust id => 0001380351; skip
id user => 398; cust id => 0042196832; skip
id user => 399; cust id => 0049814734; skip
id user => 400; cust id => 0027322098; skip
id user => 401; cust id => 0054440821; skip
id user => 402; cust id => 0006077051; skip
id user => 403; cust id => 0004635421; skip
id user => 404; cust id => 0030392781; skip
id user => 405; cust id => 0003519329; skip
id user => 406; cust id => 0000546820; skip
id user => 407; cust id => 0016628232; skip
id user => 408; cust id => 0000580621; skip
id user => 409; cust id => 0040918781; skip
id user => 410; cust id => 0021183652; skip
id user => 411; cust id => 0000067520; skip
id user => 412; cust id => 0006336432; skip
id user => 413; cust id => 0017290255; skip
id user => 414; cust id => 0005866959; skip
id user => 415; cust id => 0050578970; skip
id user => 416; cust id => 0045186707; skip
id user => 417; cust id => 0002703825; skip
id user => 418; cust id => 0021321252; skip
id user => 419; cust id => 0003869955; skip
id user => 420; cust id => 0030329205; skip
id user => 421; cust id => 0045694775; skip
id user => 422; cust id => 0001283233; skip
id user => 423; cust id => 0024262206; skip
id user => 424; cust id => 0050490747; skip
id user => 425; cust id => 0021420211; skip
id user => 426; cust id => 0000213421; skip
id user => 427; cust id => 0013182274; skip
id user => 428; cust id => 0003834827; skip
id user => 429; cust id => 0045336765; skip
id user => 430; cust id => 0018706218; skip
id user => 431; cust id => 0018706218; skip
id user => 432; cust id => 0030046999; skip
id user => 433; cust id => 0029343233; skip
id user => 435; cust id => 0028864718; skip
id user => 436; cust id => 0021437231; skip
id user => 437; cust id => 0006321707; skip
id user => 438; cust id => 0014342265; skip
id user => 439; cust id => 0003758539; skip
id user => 440; cust id => 0029299385; skip
id user => 441; cust id => 0028760718; skip
id user => 442; cust id => 0001252139; skip
id user => 443; cust id => 0018362269; skip
id user => 444; cust id => 0000496026; skip
id user => 445; cust id => 0001377555; skip
id user => 446; cust id => 0027230093; skip
id user => 447; cust id => 0004966479; skip
id user => 448; cust id => 0003014628; skip
id user => 449; cust id => 0003563848; skip
id user => 450; cust id => 0025675364; skip
id user => 451; cust id => 0021569991; skip
id user => 452; cust id => 0000757922; skip
id user => 453; cust id => 0051780740; skip
id user => 454; cust id => 0051780740; skip
id user => 455; cust id => 0051780740; skip
id user => 456; cust id => 0030891626; skip
id user => 457; cust id => 0009362658; skip
id user => 458; cust id => 0035578780; skip
id user => 459; cust id => 0029440146; skip
id user => 460; cust id => 0000418020; skip
id user => 461; cust id => 0048266969; skip
id user => 462; cust id => 0008140279; skip
id user => 463; cust id => 0046424792; skip
id user => 464; cust id => 0002390847; skip
id user => 465; cust id => 0054964796; skip
id user => 466; cust id => 0044914711; skip
id user => 467; cust id => 0001390152; skip
id user => 468; cust id => 0051300796; skip
id user => 469; cust id => 0001633841; skip
id user => 470; cust id => 0004016028; skip
id user => 471; cust id => 0021231956; skip
id user => 472; cust id => 0029402518; skip
id user => 474; cust id => 0009752247; skip
id user => 475; cust id => 0004662037; skip
id user => 476; cust id => 0053846796; skip
id user => 477; cust id => 0002698025; skip
id user => 478; cust id => 0000764126; skip
id user => 479; cust id => 0011300381; skip
id user => 480; cust id => 0030032148; skip
id user => 481; cust id => 0009318445; skip
id user => 482; cust id => 0003000460; skip
id user => 483; cust id => 0002887925; skip
id user => 484; cust id => 0003208238; skip
id user => 485; cust id => 0034566778; skip
id user => 486; cust id => 0002590446; skip
id user => 487; cust id => 0000084020; skip
id user => 490; cust id => 0000822924; skip
id user => 491; cust id => 0000885921; skip
id user => 492; cust id => 0030018956; skip
id user => 493; cust id => 0021078225; skip
id user => 494; cust id => 0003286341; skip
id user => 496; cust id => 0003286341; skip
id user => 497; cust id => 0037666724; skip
id user => 498; cust id => 0000554428; skip
id user => 499; cust id => 0028944866; skip
